AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,CONTAGEM_EGRESSOS_ID_PESSOA,CONTAGEM_EGRESSOS_ID_PESSOA_PROGRAMA
2016,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,581,581
2016,31,COMUNICAÇÃO E INFORMAÇÃO,1303,1303
2016,32,SERVIÇO SOCIAL,527,527
2016,33,FILOSOFIA,595,595
2016,34,SOCIOLOGIA,1197,1197
2016,35,ANTROPOLOGIA / ARQUEOLOGIA,432,432
2016,36,GEOGRAFIA,1209,1209
2016,37,PSICOLOGIA,1748,1748
2016,38,EDUCAÇÃO,5054,5054
2016,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,610,610
2016,40,HISTÓRIA,1681,1681
2016,41,LETRAS / LINGUÍSTICA,3816,3818
2016,42,CIÊNCIAS AGRÁRIAS I,4429,4429
2016,44,TEOLOGIA,379,380
2016,45,INTERDISCIPLINAR,4793,4793
2016,46,ENSINO,1884,1884
2016,47,MATERIAIS,524,524
2016,48,BIOTECNOLOGIA,822,822
2016,49,CIÊNCIAS AMBIENTAIS,1364,1364
2016,50,NUTRIÇÃO,389,389
2017,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1447,1447
2017,2,CIÊNCIA DA COMPUTAÇÃO,1914,1914
2017,3,ASTRONOMIA / FÍSICA,1188,1188
2017,4,QUÍMICA,1749,1749
2017,5,GEOCIÊNCIAS,977,977
2017,6,CIÊNCIAS BIOLÓGICAS I,1281,1281
2017,7,BIODIVERSIDADE,2253,2267
2017,8,CIÊNCIAS BIOLÓGICAS II,1450,1450
2017,9,CIÊNCIAS BIOLÓGICAS III,641,641
2017,10,ENGENHARIAS I,2166,2166
2017,11,ARTES,1183,1184
2017,12,ENGENHARIAS II,2062,2062
2017,13,ENGENHARIAS III,3082,3082
2017,14,ENGENHARIAS IV,2029,2029
2017,15,MEDICINA I,2182,2182
2017,16,MEDICINA II,1927,1927
2017,17,MEDICINA III,705,705
2017,18,ODONTOLOGIA,2119,2119
2017,19,FARMÁCIA,1145,1145
2017,20,ENFERMAGEM,1603,1603
2017,21,EDUCAÇÃO FÍSICA,1335,1335
2017,22,SAÚDE COLETIVA,1607,1608
2017,23,ZOOTECNIA / RECURSOS PESQUEIROS,1346,1346
2017,24,MEDICINA VETERINÁRIA,1515,1515
2017,25,CIÊNCIA DE ALIMENTOS,922,922
2017,26,DIREITO,3340,3341
2017,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",3609,3614
2017,28,ECONOMIA,1239,1239
2017,29,"ARQUITETURA, URBANISMO E DESIGN",1147,1147
2017,30,PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA,623,623
2017,31,COMUNICAÇÃO E INFORMAÇÃO,1410,1410
2017,32,SERVIÇO SOCIAL,549,549
2017,33,FILOSOFIA,784,784
2017,34,SOCIOLOGIA,1139,1139
2017,35,ANTROPOLOGIA / ARQUEOLOGIA,445,445
2017,36,GEOGRAFIA,1339,1339
2017,37,PSICOLOGIA,2067,2067
2017,38,EDUCAÇÃO,5596,5597
2017,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,634,634
2017,40,HISTÓRIA,1541,1541
2017,41,LINGUÍSTICA E LITERATURA,3816,3816
2017,42,CIÊNCIAS AGRÁRIAS I,4361,4361
2017,44,CIÊNCIAS DA RELIGIÃO E TEOLOGIA,499,499
2017,45,INTERDISCIPLINAR,5466,5471
2017,46,ENSINO,2305,2305
2017,47,MATERIAIS,528,528
2017,48,BIOTECNOLOGIA,958,958
2017,49,CIÊNCIAS AMBIENTAIS,1691,1691
2017,50,NUTRIÇÃO,367,367
2018,1,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,1426,1426
2018,2,CIÊNCIA DA COMPUTAÇÃO,1783,1783
2018,3,ASTRONOMIA / FÍSICA,1290,1296
2018,4,QUÍMICA,1838,1838
2018,5,GEOCIÊNCIAS,1036,1036
2018,6,CIÊNCIAS BIOLÓGICAS I,1276,1276
2018,7,BIODIVERSIDADE,2141,2149
2018,8,CIÊNCIAS BIOLÓGICAS II,1418,1418
2018,9,CIÊNCIAS BIOLÓGICAS III,662,662
2018,10,ENGENHARIAS I,2389,2389
2018,11,ARTES,1221,1221
2018,12,ENGENHARIAS II,2148,2148
2018,13,ENGENHARIAS III,2853,2853
2018,14,ENGENHARIAS IV,2207,2207
2018,15,MEDICINA I,2405,2405
2018,16,MEDICINA II,1997,1997
2018,17,MEDICINA III,854,854
2018,18,ODONTOLOGIA,2321,2321
2018,19,FARMÁCIA,1210,1210
2018,20,ENFERMAGEM,1666,1666
2018,21,EDUCAÇÃO FÍSICA,1474,1474
2018,22,SAÚDE COLETIVA,1718,1718
2018,23,ZOOTECNIA / RECURSOS PESQUEIROS,1381,1381
2018,24,MEDICINA VETERINÁRIA,1599,1599
2018,25,CIÊNCIA DE ALIMENTOS,1004,1004
2018,26,DIREITO,3606,3609
2018,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",4140,4143
