AN_BASE,CD_AREA_AVALIACAO,NM_AREA_AVALIACAO,IN_REDE,SG_UF_PROGRAMA,CD_PROGRAMA_IES,NM_PROGRAMA_IES,DS_SITUACAO_PROGRAMA
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017015P5,CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA E QUÍMICA MEDICINAL),EM FUNCIONAMENTO
2024,34,SOCIOLOGIA,NÃO,RJ,31001017020P9,SOCIOLOGIA E ANTROPOLOGIA,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RJ,31001017085P3,INTERDISCIPLINAR LINGÜÍSTICA APLICADA,EM FUNCIONAMENTO
2024,31,COMUNICAÇÃO E INFORMAÇÃO,NÃO,RJ,31001017064P6,COMUNICAÇÃO,EM FUNCIONAMENTO
2024,41,LINGUÍSTICA E LITERATURA,NÃO,RJ,31001017069P8,LETRAS (LETRAS CLÁSSICAS),EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,RJ,31001017038P5,ENGENHARIA DE TRANSPORTES,EM FUNCIONAMENTO
2024,16,MEDICINA II,NÃO,RJ,31001017056P3,PSIQUIATRIA E SAÚDE MENTAL,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017105P4,CIÊNCIAS MORFOLÓGICAS,EM FUNCIONAMENTO
2024,15,MEDICINA I,NÃO,RJ,31001017048P0,CLÍNICA MÉDICA,EM FUNCIONAMENTO
2024,8,CIÊNCIAS BIOLÓGICAS II,NÃO,RJ,31001017012P6,CIÊNCIAS BIOLÓGICAS (BIOFÍSICA),EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,RJ,31001017156P8,ENSINO DE QUÍMICA,EM FUNCIONAMENTO
2024,10,ENGENHARIAS I,NÃO,RJ,31001017115P0,ENGENHARIA AMBIENTAL,EM FUNCIONAMENTO
2024,46,ENSINO,NÃO,RJ,31001017122P6,ENSINO DE MATEMÁTICA,EM FUNCIONAMENTO
